INDUSTRY,YEAR,SATIS,CONFIRM,IDEAL,OVERALLX,CUSTOMX,WRONGX,OVERALLQ,CUSTOMQ,WRONGQ,PQ,QP,COMP,HANDLE,REPUR,HIGHPTOL,LOWPTOL,AGE,EDUCAT,HISPANIC,RACE_1,RACE_2,RACE_3,RACE_4,RACE_5,INCOME,GENDER,ZIPCODE
3003,2015,6,5,5,8.0,8.0,6.0,6.0,5.0,5.0,6.0,6.0,1.0,4.0,7.0,15.0,,35,4.0,0.0,1.0,,,,,7.0,2.0,75035.0
3003,2015,10,5,8,8.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,0.0,,10.0,98.0,,19,3.0,0.0,1.0,,,,,3.0,2.0,99336.0
3003,2015,4,3,3,5.0,7.0,2.0,5.0,5.0,4.0,4.0,4.0,0.0,,8.0,5.0,,39,5.0,0.0,1.0,,,,,7.0,1.0,2155.0
3003,2015,4,3,7,5.0,4.0,7.0,4.0,4.0,9.0,4.0,7.0,0.0,,4.0,,26.0,27,3.0,0.0,2.0,,,,,3.0,2.0,32923.0
3003,2015,6,6,4,7.0,5.0,3.0,7.0,6.0,6.0,5.0,7.0,0.0,,6.0,20.0,,39,4.0,0.0,1.0,,,,,7.0,1.0,97405.0
3003,2015,5,5,3,5.0,6.0,7.0,7.0,8.0,8.0,4.0,5.0,0.0,,2.0,,26.0,24,5.0,0.0,4.0,,,,,7.0,2.0,7747.0
3003,2015,4,4,4,7.0,7.0,8.0,3.0,2.0,3.0,5.0,5.0,98.0,,5.0,,98.0,31,5.0,0.0,1.0,,,,,4.0,2.0,24450.0
3003,2015,6,5,4,7.0,5.0,7.0,7.0,6.0,6.0,2.0,2.0,1.0,2.0,6.0,5.0,,53,5.0,1.0,1.0,,,,,7.0,1.0,22152.0
3003,2015,4,4,1,2.0,3.0,4.0,6.0,1.0,4.0,4.0,2.0,0.0,,5.0,,5.0,36,5.0,0.0,1.0,,,,,7.0,1.0,15632.0
3003,2015,8,8,7,7.0,9.0,8.0,8.0,9.0,9.0,8.0,8.0,0.0,,7.0,15.0,,38,3.0,0.0,1.0,,,,,6.0,2.0,3842.0
3003,2015,9,9,8,8.0,8.0,7.0,8.0,8.0,7.0,9.0,10.0,1.0,9.0,9.0,15.0,,50,5.0,0.0,1.0,,,,,7.0,2.0,53213.0
3003,2015,5,5,98,6.0,4.0,5.0,6.0,5.0,7.0,5.0,3.0,0.0,,9.0,5.0,,40,4.0,0.0,1.0,,,,,2.0,2.0,98382.0
3003,2015,7,6,3,7.0,6.0,8.0,6.0,6.0,10.0,5.0,5.0,0.0,,10.0,0.0,,54,4.0,0.0,1.0,,,,,99.0,1.0,60014.0
3003,2015,7,7,7,6.0,6.0,3.0,7.0,6.0,7.0,6.0,7.0,0.0,,98.0,,,40,4.0,0.0,1.0,,,,,7.0,1.0,11787.0
3003,2015,8,7,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,,8.0,1.0,,53,5.0,0.0,1.0,,,,,7.0,1.0,22043.0
3003,2015,6,6,6,7.0,6.0,6.0,7.0,6.0,6.0,5.0,6.0,0.0,,6.0,26.0,,38,4.0,1.0,1.0,,,,,6.0,2.0,11103.0
3003,2015,7,4,7,8.0,8.0,5.0,7.0,7.0,6.0,7.0,7.0,1.0,2.0,3.0,,25.0,38,2.0,0.0,2.0,,,,,7.0,1.0,14150.0
3003,2015,7,6,7,7.0,6.0,6.0,6.0,5.0,7.0,7.0,7.0,0.0,,6.0,26.0,,43,3.0,1.0,1.0,,,,,4.0,2.0,90280.0
3003,2015,5,3,3,8.0,9.0,1.0,7.0,6.0,4.0,3.0,4.0,1.0,2.0,2.0,,26.0,29,5.0,0.0,1.0,,,,,1.0,1.0,47803.0
3003,2015,8,7,5,8.0,8.0,8.0,7.0,7.0,7.0,8.0,7.0,1.0,1.0,6.0,26.0,,65,4.0,0.0,1.0,,,,,5.0,1.0,77532.0
3003,2015,6,5,4,6.0,9.0,6.0,6.0,6.0,6.0,6.0,6.0,0.0,,6.0,5.0,,22,4.0,0.0,1.0,,,,,5.0,2.0,
3003,2015,6,6,5,6.0,8.0,8.0,6.0,9.0,8.0,4.0,5.0,0.0,,5.0,,20.0,23,5.0,0.0,1.0,,,,,6.0,2.0,95821.0
3003,2015,7,6,8,8.0,9.0,7.0,6.0,5.0,8.0,7.0,5.0,0.0,,6.0,12.0,,30,5.0,1.0,1.0,,,,,6.0,2.0,90046.0
3003,2015,6,5,4,7.0,7.0,6.0,8.0,6.0,5.0,5.0,6.0,1.0,6.0,7.0,10.0,,24,4.0,0.0,1.0,,,,,4.0,2.0,90026.0
3003,2015,9,98,7,8.0,9.0,10.0,8.0,9.0,10.0,6.0,8.0,0.0,,9.0,20.0,,22,3.0,0.0,6.0,,,,,6.0,1.0,48504.0
3003,2015,10,10,9,8.0,9.0,6.0,10.0,10.0,10.0,8.0,9.0,0.0,,9.0,26.0,,24,4.0,0.0,1.0,,,,,4.0,2.0,5753.0
3003,2015,7,5,7,7.0,5.0,3.0,7.0,6.0,5.0,7.0,7.0,1.0,8.0,7.0,98.0,,39,4.0,0.0,1.0,,,,,4.0,2.0,34293.0
3003,2015,6,6,3,7.0,6.0,3.0,7.0,5.0,2.0,7.0,8.0,0.0,,4.0,,20.0,59,3.0,0.0,1.0,,,,,6.0,1.0,48310.0
3003,2015,4,5,3,7.0,7.0,7.0,7.0,7.0,7.0,4.0,4.0,0.0,,5.0,,26.0,31,5.0,0.0,1.0,,,,,6.0,1.0,63144.0
3003,2015,7,8,8,10.0,7.0,4.0,8.0,6.0,8.0,8.0,7.0,0.0,,8.0,26.0,,34,4.0,0.0,4.0,,,,,6.0,2.0,75093.0
3003,2015,6,6,5,6.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,0.0,,5.0,,26.0,44,3.0,0.0,1.0,,,,,7.0,1.0,30253.0
3003,2015,8,8,7,4.0,8.0,5.0,6.0,6.0,7.0,7.0,7.0,0.0,,7.0,0.0,,31,5.0,0.0,1.0,,,,,5.0,1.0,2859.0
3003,2015,8,7,4,7.0,9.0,4.0,9.0,10.0,9.0,7.0,7.0,0.0,,7.0,10.0,,25,4.0,0.0,1.0,,,,,6.0,2.0,99501.0
3003,2015,7,7,5,9.0,8.0,6.0,8.0,8.0,5.0,6.0,6.0,0.0,,8.0,10.0,,46,2.0,0.0,1.0,,,,,5.0,1.0,33511.0
3003,2015,8,8,8,9.0,8.0,8.0,9.0,9.0,8.0,8.0,8.0,0.0,,10.0,15.0,,50,2.0,0.0,1.0,,,,,5.0,1.0,26159.0
3003,2015,8,8,7,8.0,9.0,10.0,8.0,8.0,10.0,7.0,8.0,0.0,,10.0,10.0,,28,5.0,1.0,1.0,,,,,3.0,2.0,83607.0
3003,2015,8,7,9,5.0,8.0,9.0,8.0,8.0,9.0,8.0,10.0,0.0,,9.0,26.0,,57,3.0,0.0,1.0,,,,,7.0,1.0,2919.0
3003,2015,8,8,8,10.0,10.0,10.0,8.0,8.0,10.0,7.0,8.0,0.0,,8.0,26.0,,44,3.0,0.0,1.0,,,,,5.0,2.0,43526.0
3003,2015,6,4,4,7.0,8.0,7.0,7.0,6.0,7.0,5.0,5.0,0.0,,4.0,,15.0,48,3.0,0.0,1.0,,,,,5.0,1.0,98498.0
3003,2015,7,5,5,7.0,7.0,8.0,8.0,6.0,9.0,7.0,6.0,0.0,,6.0,98.0,,70,5.0,0.0,1.0,,,,,7.0,1.0,19355.0
3003,2015,8,8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,,8.0,5.0,,30,4.0,0.0,1.0,,,,,7.0,1.0,7044.0
3003,2015,6,5,7,8.0,8.0,2.0,5.0,8.0,4.0,5.0,7.0,1.0,2.0,6.0,15.0,,50,4.0,0.0,1.0,,,,,7.0,1.0,89074.0
3003,2015,8,8,7,8.0,8.0,8.0,8.0,9.0,8.0,8.0,8.0,0.0,,8.0,10.0,,43,4.0,0.0,1.0,,,,,99.0,2.0,52722.0
3003,2015,9,7,8,7.0,7.0,5.0,8.0,7.0,5.0,8.0,8.0,1.0,8.0,8.0,5.0,,36,5.0,98.0,98.0,,,,,4.0,2.0,21224.0
3003,2015,8,6,8,8.0,7.0,7.0,8.0,8.0,8.0,6.0,7.0,0.0,,9.0,0.0,,32,5.0,0.0,1.0,,,,,7.0,1.0,55014.0
3003,2015,7,6,6,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,0.0,,8.0,26.0,,41,5.0,0.0,1.0,3.0,,,,7.0,2.0,55416.0
3003,2015,10,7,9,8.0,8.0,2.0,9.0,9.0,10.0,4.0,10.0,0.0,,10.0,26.0,,22,3.0,0.0,1.0,,,,,98.0,2.0,1880.0
3003,2015,8,6,7,9.0,9.0,9.0,8.0,9.0,7.0,7.0,7.0,0.0,,9.0,10.0,,43,5.0,0.0,4.0,,,,,99.0,1.0,92121.0
3003,2015,8,8,8,8.0,8.0,8.0,9.0,9.0,9.0,8.0,8.0,0.0,,8.0,10.0,,23,5.0,0.0,1.0,,,,,7.0,2.0,1833.0
